caso,titulo,tecnologia,linhas_antes,linhas_depois,tempo_antes_ms,tempo_depois_ms,observacao
001,Consulta de notificações (coerção em status_id_virt),MySQL / InnoDB,657730,6,,4.53,trocar = 0 por = '0' destravou idx_notif_otimizacao; tempo antes não medido
002,SELECT DISTINCT user_id por schedule_id,MySQL / InnoDB,1640000,1591,832,0.82,covering index (schedule_id, user_id) + DISTINCT via índice; ~5000 ms a frio antes
003,MEMBER OF em colunas JSON (phones_list / emails_list),MySQL / InnoDB,3840000,8,8956,0.08,MV index telefone + lookup leads_emails; UNION no lugar de OR
006,Contagem de leads por user_id (LIKE em updated_time),MySQL / InnoDB,359534,141,621,0.12,LIKE de data trocado por range half-open + covering index (updated_time user_id deal_id); FK_score mantido para a FK
007,Maior/ultimo AUC por cliente em pack_auc (spitfire),MySQL / InnoDB,2690000,96196,1260000,770,tempo_antes = ~21 min a FRIO na 1a execucao (1.260.000 ms; a quente era ~11.607 ms); tempo_depois = 770 ms a quente; a frio o tunado ficou em poucos segundos (valor exato a registrar); coluna gerada data_d DATE STORED (era TEXT) + indices (cliente data_d) e (cliente auc data_d); skip scan no MAX + JOIN LATERAL; eliminou 4 full scans e a subquery correlacionada; VIRTUAL dava 0000-00-00 por indice stale (usar STORED); tabela sem PK (recomendado a parte)
008,Deals won/lost por assessores em customer (junho),MySQL / InnoDB,3960000,7047,9847,135,versao fiel 4 ramos (UNION) reproduz o original (7047 linhas); OR cruzado won_by_id/lost_by_id derrubava em full scan -> indices por ramo (won_by_id won_date) e (lost_by_id lost_date); ids do CTE numericos evitam cast as double que cegava o indice; tempos a quente (a frio antes ~minutos a medir)
009,Atividades do dia por lista de usuarios em activities,MySQL / InnoDB,4460000,317,8857,3.87,query ja sargavel so faltava indice; indice composto (user_id done_time) -> 42 range scans (um por user) em vez de full scan de 4.46M; sort de 317 linhas e desprezivel; tempos a quente (a frio antes ~minutos a medir)
